"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
"4351"	-1.5572451933481	"EXTL3"	"2137"	0.0011705207236876	"E.Br.24h.1"
"4205"	-1.7380845281616	"EPHA3"	"2042"	0.000253079829613558	"E.Br.24h.1"
"4149"	-1.64751623327373	"ENC1"	"8507"	4.05810686252166e-05	"E.Br.24h.1"
"4044"	-1.59053864605726	"EIF1AX"	"1964"	0.0063606009201354	"E.Br.24h.1"
"3898"	-1.65714454748326	"DVL1"	"1855"	0.000142374455964426	"E.Br.24h.1"
"3896"	-1.51398192239485	"DUT"	"1854"	0.0152762389495365	"E.Br.24h.1"
"3582"	-1.50173677103484	"DIAPH3"	"81624"	0.00908755121971011	"E.Br.24h.1"
"3514"	-1.55703185357984	"DENND5B"	"160518"	0.000626164786108603	"E.Br.24h.1"
"3399"	-1.60251031610622	"DCLK1"	"9201"	0.000669068116660596	"E.Br.24h.1"
"3228"	-1.5402837242642	"CXCR4"	"7852"	0.00698114889865975	"E.Br.24h.1"
"2972"	-2.27231032664602	"CPS1"	"1373"	7.70208362062771e-06	"E.Br.24h.1"
"2772"	-1.50184395623775	"CNKSR3"	"154043"	0.00110678045989212	"E.Br.24h.1"
"2424"	-1.58824364531991	"CENPI"	"2491"	0.000580021346251769	"E.Br.24h.1"
"2366"	-1.59443145540706	"CDKN3"	"1033"	0.00415058315038953	"E.Br.24h.1"
"2324"	-1.51293826723037	"CDK1"	"983"	0.0458337906490519	"E.Br.24h.1"
"2293"	-1.54134227628712	"CDCA8"	"55143"	0.00247586766983963	"E.Br.24h.1"
"2287"	-1.67825278894156	"CDCA2"	"157313"	0.000399346870752555	"E.Br.24h.1"
"2259"	-1.53613126527529	"CDC20"	"991"	0.0144910700075354	"E.Br.24h.1"
"1388"	-1.50604673289602	"BRCC3"	"79184"	0.0016586247217559	"E.Br.24h.1"
"982"	-1.85800240366435	"ASPM"	"259266"	1.50896630476253e-05	"E.Br.24h.1"
"808"	-1.53258878137781	"ARHGAP19"	"84986"	0.00239660222191556	"E.Br.24h.1"
"642"	-1.66715065238751	"ANLN"	"54443"	5.45314679231757e-05	"E.Br.24h.1"
"390"	-1.56459533346538	"AHNAK"	"79026"	0.00248343643465591	"E.Br.24h.1"
"240"	-1.73343440292373	"ADAMTS1"	"9510"	0.000409465091805978	"E.Br.24h.1"
"15044"	-1.6158943806353	"ZFR"	"51663"	0.0694587055592105	"E.Br.24h.2"
"14937"	-1.459482584615	"ZBTB43"	"23099"	0.0541393108824088	"E.Br.24h.2"
"14612"	-1.33666104728418	"VPS8"	"23355"	0.0522965474552354	"E.Br.24h.2"
"14452"	-1.3093960333254	"USP12"	"219333"	0.0784087596542913	"E.Br.24h.2"
"13483"	-1.38072515215726	"TLE1"	"7088"	0.00316934345501622	"E.Br.24h.2"
"13113"	-1.34504193164022	"TAB3"	"257397"	0.0479705037482058	"E.Br.24h.2"
"12576"	-1.58502887544112	"SOS2"	"6655"	0.0540603395110269	"E.Br.24h.2"
"11906"	-1.32679256595824	"SGCB"	"6443"	0.0440157160305308	"E.Br.24h.2"
"11306"	-1.48587128702278	"RORA"	"6095"	0.0922052361539386	"E.Br.24h.2"
"10724"	-1.60434060122004	"RAB33A"	"9363"	0.0318462471108726	"E.Br.24h.2"
"10167"	-2.23882997562575	"PPBP"	"5473"	0.0939947944487875	"E.Br.24h.2"
"10141"	-1.31696070604313	"POU2F1"	"5451"	0.0468819555072538	"E.Br.24h.2"
"9620"	-1.45541443857341	"PDK3"	"5165"	0.0304177935991932	"E.Br.24h.2"
"8976"	-1.64996229039743	"NRP2"	"8828"	0.0412410621481056	"E.Br.24h.2"
"8853"	-1.66606297692158	"NOCT"	"25819"	0.0667476074709755	"E.Br.24h.2"
"8694"	-1.36940453525659	"NFATC1"	"4772"	0.0478390757305833	"E.Br.24h.2"
"8678"	-1.67404331845791	"NF1"	"4763"	0.0884668641939251	"E.Br.24h.2"
"8478"	-1.42068443412883	"NAIP"	"4671"	0.0974572305647234	"E.Br.24h.2"
"8360"	-1.64242174409534	"MYH10"	"4628"	0.0783748376846342	"E.Br.24h.2"
"8062"	-1.94079575514011	"MOB1A"	"55233"	0.0471624547173739	"E.Br.24h.2"
"7501"	-1.48960158828034	"LTN1"	"26046"	0.087902001082575	"E.Br.24h.2"
"7466"	-1.33059225558163	"LRRC75A"	"388341"	0.0140207936231197	"E.Br.24h.2"
"7360"	-1.67039461209322	"LMAN1"	"3998"	0.0417224755245822	"E.Br.24h.2"
"7095"	-1.43745067247608	"KMT2C"	"58508"	0.0143703335709402	"E.Br.24h.2"
"6935"	-1.34117209015119	"KIAA1217"	"56243"	0.0316594670026273	"E.Br.24h.2"
"6804"	-1.49916949661892	"KCNE1"	"3753"	0.0447029237448597	"E.Br.24h.2"
"6507"	-1.41923995156143	"INF2"	"64423"	0.0155060482567284	"E.Br.24h.2"
"5690"	-1.42469308750674	"GRIA3"	"2892"	0.0746868268953909	"E.Br.24h.2"
"5565"	-1.39841851262638	"GPC6"	"10082"	0.0471152917358496	"E.Br.24h.2"
"5471"	-1.51586477762216	"GNA13"	"10672"	0.0566444956205369	"E.Br.24h.2"
"5444"	-1.88468387676519	"GLS"	"2744"	0.0379860451397636	"E.Br.24h.2"
"4678"	-1.42730794944913	"FAM210A"	"125228"	0.00844013159693596	"E.Br.24h.2"
"2918"	-1.34608255438492	"COL6A1"	"1291"	0.0864905721184466	"E.Br.24h.2"
"2887"	-1.35377030814172	"COL12A1"	"1303"	0.0241440546262885	"E.Br.24h.2"
"2322"	-2.50926253206378	"CDH11"	"1009"	0.017506781621348	"E.Br.24h.2"
"2211"	-1.43232557923899	"CD180"	"4064"	0.0819937130193686	"E.Br.24h.2"
"2174"	-1.52715408049797	"CCNT1"	"904"	0.0556958247783682	"E.Br.24h.2"
"2055"	-1.52252420653554	"CCDC186"	"55088"	0.0385548250228953	"E.Br.24h.2"
"1295"	-1.44260870395603	"BCL2L11"	"10018"	0.0977444219840382	"E.Br.24h.2"
"832"	-1.37629385264921	"ARGLU1"	"55082"	0.0896104276108125	"E.Br.24h.2"
"721"	-1.32816242623368	"AP1S3"	"130340"	0.056083338284408	"E.Br.24h.2"
"594"	-1.31822381747503	"AMPD3"	"272"	0.0876843076531769	"E.Br.24h.2"
"441"	-1.38199251196878	"AHNAK2"	"113146"	0.0988702912690209	"E.Br.24h.2"
"150441"	-1.6158943806353	"ZFR"	"51663"	0.0694587055592105	"E.Br.24h.3"
"149371"	-1.459482584615	"ZBTB43"	"23099"	0.0541393108824088	"E.Br.24h.3"
"146121"	-1.33666104728418	"VPS8"	"23355"	0.0522965474552354	"E.Br.24h.3"
"144521"	-1.3093960333254	"USP12"	"219333"	0.0784087596542913	"E.Br.24h.3"
"134831"	-1.38072515215726	"TLE1"	"7088"	0.00316934345501622	"E.Br.24h.3"
